"성별(1)","특성별(1)",특성별(2),2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"전체","전체",19세이상,5810,46.4,1.0,5962,44.9,1.0,5918,45.6,0.9,5398,44.0,0.9,5316,44.9,0.9,4861,49.7,1.0
"전체","전체",19세이상(표준화),5810,48.5,0.9,5962,47.6,1.0,5918,47.8,1.0,5398,45.6,0.9,5316,47.9,0.9,4861,53.1,1.0
"전체","연령별1",19-29세,704,65.6,2.0,748,63.8,2.4,723,62.1,2.1,778,57.8,1.9,658,61.2,2.1,584,69.2,2.1
"전체","연령별1",30-39세,857,47.5,2.1,881,50.7,2.2,882,49.2,2.1,733,47.1,2.2,623,51.0,2.1,611,55.3,2.4
"전체","연령별1",40-49세,1061,47.5,1.9,1081,45.8,1.8,1076,45.3,1.6,916,42.8,1.5,911,47.6,1.8,802,49.8,1.9
"전체","연령별1",50-59세,1148,44.4,1.7,1140,37.9,1.7,1131,41.4,1.8,1012,39.9,2.1,970,40.7,1.9,840,49.7,2.1
"전체","연령별1",60-69세,1038,35.8,1.9,1065,38.7,2.0,1071,39.3,1.8,1048,40.5,1.7,1055,38.7,2.0,1063,40.5,2.1
"전체","연령별1",70세이상,1002,27.2,1.8,1047,23.4,1.6,1035,30.4,1.8,911,29.4,1.8,1099,23.2,1.5,961,29.0,1.8
"전체","연령별2",19-64세,4315,49.8,1.0,4442,48.3,1.1,4393,48.2,1.0,4028,46.1,1.0,3707,48.6,1.0,3378,53.9,1.0
"전체","연령별2",65세이상,1495,29.4,1.5,1520,28.1,1.6,1525,33.0,1.6,1370,33.2,1.6,1609,28.7,1.4,1483,33.1,1.7
"전체","거주지역별",동,4763,48.3,1.1,4902,46.9,1.1,4754,47.8,1.0,4320,46.0,1.0,4145,47.0,1.0,3824,51.2,1.1
"전체","거주지역별",읍면,1047,35.7,2.5,1060,31.8,3.0,1164,34.7,2.6,1078,32.8,2.3,1171,33.4,2.3,1037,40.9,2.7
