"성별(1)","특성별(1)",특성별(2),2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"전체","전체",1세이상,7167,5.3,0.4,7064,5.5,0.4,7147,6.7,0.4,5808,6.8,0.4,5940,5.6,0.4,5830,5.5,0.4
"전체","전체",19세이상,5721,5.4,0.4,5703,5.6,0.4,5772,6.5,0.4,4804,6.8,0.5,4973,5.6,0.4,4949,5.5,0.4
"전체","전체",1세이상(표준화),7167,5.9,0.4,7064,6.0,0.4,7147,7.4,0.4,5808,7.5,0.5,5940,6.2,0.5,5830,5.8,0.4
"전체","전체",19세이상(표준화),5721,6.1,0.5,5703,6.3,0.5,5772,7.5,0.5,4804,7.7,0.5,4973,6.4,0.5,4949,5.9,0.5
"전체","연령별1",1-9세,812,6.1,1.1,756,3.4,0.7,736,6.5,1.2,535,7.1,1.4,483,5.9,1.4,445,7.0,1.2
"전체","연령별1",10-18세,634,4.6,0.9,605,6.6,1.2,639,8.0,1.2,469,6.3,1.2,484,5.1,1.0,436,4.4,0.9
"전체","연령별1",19-29세,653,7.4,1.3,682,7.3,1.1,669,9.9,1.2,624,5.9,1.0,584,9.0,1.6,570,7.5,1.2
"전체","연령별1",30-39세,845,9.8,1.3,862,8.3,1.1,855,10.6,1.1,633,14.5,1.7,549,9.4,1.4,625,6.5,1.0
"전체","연령별1",40-49세,1028,6.3,0.9,1050,7.2,0.9,1036,7.1,0.9,807,6.3,0.9,810,3.9,0.7,795,4.9,0.9
"전체","연령별1",50-59세,1116,2.9,0.5,1055,5.0,0.8,1061,5.4,0.8,861,6.7,1.1,909,5.6,0.9,865,7.0,1.0
"전체","연령별1",60-69세,1036,2.0,0.5,997,2.6,0.5,1043,2.8,0.6,892,4.2,0.9,981,3.5,0.7,1062,4.6,0.7
"전체","연령별1",70세이상,1043,1.6,0.5,1057,0.8,0.3,1108,1.0,0.3,987,2.1,0.6,1140,1.8,0.5,1032,1.9,0.5
